Well.Location,Plate,Species,Group.Type,Sample.Name
A01,PLATE1,,,Blank_Plate1
A02,PLATE1,,,Blank_Plate1
A03,PLATE1,,,Blank_Plate1
A04,PLATE1,,,MPW_D1H_S1
A05,PLATE1,,,MPW_D1H_S1
A06,PLATE1,,,MPW_D1H_S1
A07,PLATE1,,,MPW_D1H_S2
A08,PLATE1,,,MPW_D1H_S2
A09,PLATE1,,,MPW_D1H_S2
A10,PLATE1,,,MPW_D1H_S3
A11,PLATE1,,,MPW_D1H_S3
A12,PLATE1,,,MPW_D1H_S3
B01,PLATE1,,,MPW_D1H_S4
B02,PLATE1,,,MPW_D1H_S4
B03,PLATE1,,,MPW_D1H_S4
B04,PLATE1,,,MPW_D1H_S5
B05,PLATE1,,,MPW_D1H_S5
B06,PLATE1,,,MPW_D1H_S5
B07,PLATE1,,,MPW_D1H_S6
B08,PLATE1,,,MPW_D1H_S6
B09,PLATE1,,,MPW_D1H_S6
