##BLOCKS= 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate:,chla protocol,1.3,PlateFormat,Endpoint,Absorbance,Raw,FALSE,1,,,,,,3,630 663 750 ,1,12,96,1,8,,,,,,,,,,,,,,,,,,,
,Temperature(¡C),1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12
,23.6,0.0262,0.0296,0.0304,0.5341,0.5171,0.358,0.4121,0.5976,0.9055,0.1961,0.1705,0.3709,,0.0267,0.0291,0.0278,0.4755,0.5922,0.3667,0.4972,0.5225,0.86,0.1945,0.1779,0.1327,,0.0231,0.0266,0.0243,0.4097,0.4808,0.3329,0.5061,0.1517,0.7464,0.1543,0.1481,0.1347
,,1.4434,1.2512,1.4529,0.7788,0.9631,0.7759,0.7178,0.4057,0.8455,1.1648,0.7175,0.4995,,0.8841,0.9172,1.1703,0.639,0.9535,0.4622,0.5852,0.2996,0.3282,1.1865,0.6681,0.3214,,0.7572,0.732,1.0653,0.5259,1.0521,0.5667,0.4697,0.2565,0.2232,1.0194,0.4968,0.3293
,,0.87,1.3912,1.5984,0.6081,0.6125,0.4241,0.3983,0.5996,0.274,0.8856,0.7291,0.6742,,0.5797,1.0857,1.3204,0.6426,0.7159,0.3623,0.1658,0.709,0.2108,1.0789,0.9767,0.7789,,0.4755,0.9467,1.2849,0.5919,0.5052,0.2865,0.166,0.7032,0.1592,0.9486,0.8742,0.584
,,1.1161,1.2607,1.353,0.3856,0.8639,0.3018,0.6166,0.823,0.7696,1.1788,0.8693,1.1601,,0.6954,1.3156,1.2216,0.5038,0.7642,0.3526,0.6164,0.8152,0.8374,1.204,0.505,1.1851,,0.8239,1.0984,0.9397,0.36,0.8126,0.3113,0.6007,0.7043,0.8441,1.1907,0.5047,1.0292
,,0.6699,0.8093,0.4749,1.2562,0.9548,0.6556,0.6759,0.6745,0.9572,1.6586,1.3322,0.8808,,0.5175,0.7936,0.4696,1.0662,0.634,0.6058,0.7613,0.7055,0.8914,1.6413,1.3968,0.8617,,0.541,0.3591,0.2332,0.9674,0.6498,0.456,0.6782,0.6779,0.7871,1.626,1.2863,0.7922
,,0.9494,0.4562,0.5885,0.068,0.0527,0.2843,0.2246,0.1992,0.2406,0.2062,0.0903,0.1602,,1.3322,0.4674,0.6784,0.0739,0.0875,0.4426,0.1924,0.0938,0.169,0.1516,0.0756,0.182,,1.2905,0.4278,0.5312,0.0607,0.0581,0.2832,0.0886,0.0602,0.0905,0.1104,0.064,0.1222
,,0.1651,0.3548,0.0926,0.909,1.591,0.3706,0.116,0.1238,0.0804,0.346,0.1709,0.1185,,0.2078,0.3741,0.0986,0.9936,1.8206,0.3963,0.146,0.2297,0.138,0.3036,0.1166,0.1209,,0.1294,0.3312,0.0681,1.0266,1.6785,0.4121,0.1176,0.1567,0.0979,0.245,0.0682,0.0735
,,0.6618,0.6722,0.6095,0.1178,0.1171,0.1015,0.3426,0.4544,0.2218,0.0237,0.0262,0.0253,,0.5965,0.701,0.6341,0.1213,0.162,0.0869,0.4435,0.45,0.2201,0.0234,0.026,0.0251,,0.4886,0.6991,0.5735,0.1331,0.094,0.0666,0.3981,0.3734,0.1998,0.0234,0.0256,0.0253
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
~End,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Original Filename: mpw_chla_plate1; Date Last Saved: 7/7/2026 2:40:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
