Rows,Column,ChlPlate_630,ChlPlate_663,ChlPlate_750,Well.Location,Sample.Name,is_blank,ChlPlate_630_corr,ChlPlate_663_corr,ChlPlate_750_corr,chla,chlc,Totalchl,daterun,Plate,Filtered_vol_ml,chla_ug_mL,chlc_ug_mL,Totalchl_ug_mL
A,04,0.0432,0.047,0.0385,A04,MPW_D1H_S1,FALSE,0.0127,0.017166666666666667,0.011766666666666665,0.13260140845070426,0.1358704225352114,0.26847183098591565,2026-07-02,PLATE1,1000,1.3260140845070426e-4,1.358704225352114e-4,2.6847183098591566e-4
A,05,0.0499,0.052,0.0441,A05,MPW_D1H_S1,FALSE,0.019399999999999997,0.022166666666666664,0.017366666666666666,0.12195070422535208,0.1809084507042254,0.3028591549295775,2026-07-02,PLATE1,1000,1.2195070422535207e-4,1.809084507042254e-4,3.0285915492957746e-4
A,06,0.045,0.0511,0.0381,A06,MPW_D1H_S1,FALSE,0.014499999999999996,0.021266666666666666,0.011366666666666667,0.20306197183098587,0.19680422535211256,0.39986619718309846,2026-07-02,PLATE1,1000,2.0306197183098587e-4,1.9680422535211256e-4,3.998661971830985e-4
A,07,0.0464,0.0525,0.0383,A07,MPW_D1H_S2,FALSE,0.015899999999999994,0.022666666666666665,0.011566666666666666,0.22129859154929574,0.23645492957746467,0.4577535211267604,2026-07-02,PLATE1,1000,2.2129859154929575e-4,2.3645492957746466e-4,4.577535211267604e-4
A,08,0.0498,0.0627,0.0495,A08,MPW_D1H_S2,FALSE,0.019299999999999994,0.03286666666666667,0.022766666666666668,0.21223098591549303,-0.056040845070422764,0.15619014084507027,2026-07-02,PLATE1,1000,2.1223098591549304e-4,-5.604084507042276e-5,1.5619014084507026e-4
A,09,0.1844,0.103,0.0635,A09,MPW_D1H_S2,FALSE,0.1539,0.07316666666666666,0.03676666666666667,0.5269140845070421,4.410980281690142,4.937894366197184,2026-07-02,PLATE1,1000,5.269140845070422e-4,0.004410980281690142,0.004937894366197184
A,10,0.0829,0.0889,0.0828,A10,MPW_D1H_S3,FALSE,0.0524,0.05906666666666667,0.05606666666666667,0.09811126760563395,-0.02737183098591543,0.07073943661971852,2026-07-02,PLATE1,1000,9.811126760563395e-5,-2.737183098591543e-5,7.073943661971852e-5
A,11,0.052,0.0605,0.0504,A11,MPW_D1H_S3,FALSE,0.021499999999999995,0.030666666666666665,0.023666666666666666,0.16115352112676054,0.009409859154929485,0.17056338028169002,2026-07-02,PLATE1,1000,1.6115352112676054e-4,9.409859154929486e-6,1.7056338028169002e-4
A,12,0.289,0.1142,0.043,A12,MPW_D1H_S3,FALSE,0.25849999999999995,0.08436666666666666,0.016266666666666662,0.9244732394366197,9.022090140845071,9.946563380281692,2026-07-02,PLATE1,1000,9.244732394366197e-4,0.009022090140845072,0.009946563380281692
B,01,0.0681,0.0979,0.0504,B01,MPW_D1H_S4,FALSE,0.037599999999999995,0.06806666666666666,0.023666666666666666,0.7487281690140846,0.4324901408450703,1.1812183098591549,2026-07-02,PLATE1,1000,7.487281690140846e-4,4.324901408450703e-4,0.001181218309859155
B,02,1.2798,1.1562,0.9929,B02,MPW_D1H_S4,FALSE,1.2493,1.1263666666666665,0.9661666666666666,2.3702859154929556,10.11174929577465,12.482035211267606,2026-07-02,PLATE1,1000,0.0023702859154929555,0.010111749295774651,0.012482035211267607
B,03,0.0251,0.0248,0.0243,B03,MPW_D1H_S4,FALSE,-0.005400000000000002,-0.005033333333333334,-0.002433333333333336,0.007328169014084512,0.0279676056338029,0.03529577464788741,2026-07-02,PLATE1,1000,7.328169014084512e-6,2.79676056338029e-5,3.5295774647887415e-5
B,04,0.2372,0.2494,0.2081,B04,MPW_D1H_S5,FALSE,0.2067,0.2195666666666667,0.18136666666666668,0.6386408450704226,0.8991549295774643,1.537795774647887,2026-07-02,PLATE1,1000,6.386408450704226e-4,8.991549295774644e-4,0.001537795774647887
B,05,0.6684,0.7061,0.651,B05,MPW_D1H_S5,FALSE,0.6379,0.6762666666666666,0.6242666666666666,0.8713478873239425,0.3821873239436612,1.2535352112676037,2026-07-02,PLATE1,1000,8.713478873239425e-4,3.8218732394366115e-4,0.0012535352112676037
B,06,0.9666,1.1028,1.0461,B06,MPW_D1H_S5,FALSE,0.9361,1.0729666666666666,1.0193666666666668,0.9844521126760559,-3.3232056338028175,-2.338753521126762,2026-07-02,PLATE1,1000,9.84452112676056e-4,-0.0033232056338028176,-0.002338753521126762
B,07,0.1206,0.1185,0.1082,B07,MPW_D1H_S6,FALSE,0.0901,0.08866666666666666,0.08146666666666667,0.15463802816901392,0.42046056338028154,0.5750985915492954,2026-07-02,PLATE1,1000,1.5463802816901393e-4,4.2046056338028155e-4,5.750985915492955e-4
B,08,0.173,0.173,0.1515,B08,MPW_D1H_S6,FALSE,0.1425,0.14316666666666666,0.12476666666666666,0.3267394366197182,0.7104084507042251,1.0371478873239433,2026-07-02,PLATE1,1000,3.2673943661971823e-4,7.104084507042251e-4,0.0010371478873239433
B,09,0.3317,0.2966,0.2812,B09,MPW_D1H_S6,FALSE,0.30119999999999997,0.26676666666666665,0.2544666666666667,0.20239718309859106,1.848088732394366,2.050485915492957,2026-07-02,PLATE1,1000,2.0239718309859105e-4,0.001848088732394366,0.002050485915492957
