##BLOCKS= 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate:,Plate2,1.3,PlateFormat,Endpoint,Absorbance,Raw,FALSE,1,,,,,,3,630 663 750 ,1,12,96,1,8,,,,,,,,,,,,,,,,,,,
,Temperature(¡C),1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12
,24.4,0.027,0.0291,0.0281,0.5223,0.2046,0.6887,0.8264,0.5909,0.5378,0.4468,0.271,0.2264,,0.0306,0.029,0.0269,0.8178,0.3464,0.6069,0.8599,0.5637,0.6645,0.302,0.2123,0.2062,,0.0243,0.0263,0.0252,0.6917,0.239,0.5938,0.9019,0.3064,0.6956,0.1624,0.1734,0.1321
,,0.0878,0.1733,0.1519,0.2573,0.3192,0.2488,0.1207,0.1719,0.5023,0.7109,0.8878,0.516,,0.0876,0.1047,0.2015,0.2752,0.3448,0.2562,0.107,0.0548,0.5478,0.5611,0.9076,0.3836,,0.0504,0.0519,0.2124,0.234,0.3946,0.226,0.0681,0.0313,0.3794,0.4611,0.7268,0.4027
,,0.2018,0.173,0.1856,0.5179,0.4385,0.3239,0.4409,0.7029,0.3943,0.6419,0.894,0.636,,0.3182,0.2165,0.2237,0.3626,0.3616,0.3389,0.2753,0.6148,0.4081,0.7119,0.9256,0.6904,,0.24,0.1235,0.1065,0.2737,0.2685,0.287,0.1272,0.4985,0.36,0.5478,0.8325,0.5669
,,0.4713,0.9755,0.26,0.4298,0.1939,0.5698,0.4031,0.374,0.3344,0.3727,0.2442,0.1227,,0.4258,0.7124,0.2911,0.2814,0.2176,0.4693,0.3961,0.3636,0.4188,0.2902,0.1342,0.1193,,0.364,0.6911,0.2509,0.1573,0.1106,0.3307,0.3551,0.3669,0.3546,0.1898,0.0773,0.074
,,1.1576,0.0254,0.0235,0.4518,0.442,0.4693,0.7789,0.6231,0.7394,0.0255,0.0277,0.0276,,1.2221,0.0252,0.0234,0.4129,0.4042,0.4319,0.7687,0.6292,0.741,0.0253,0.0276,0.0278,,1.1541,0.025,0.0235,0.371,0.3624,0.3755,0.7017,0.5821,0.6754,0.0257,0.0274,0.0304
,,0.0468,0.0287,0.1074,0.1869,0.026,0.0244,0.0618,0.0261,0.0263,0.0261,0.0242,0.0294,,0.0429,0.0285,0.1093,0.1751,0.0258,0.0242,0.0722,0.0258,0.0262,0.026,0.024,0.0288,,0.0488,0.0285,0.1175,0.1466,0.0253,0.0244,0.0618,0.0261,0.0252,0.0256,0.0243,0.034
,,0.0504,0.0773,0.0444,0.0234,0.0257,0.0246,0.0265,0.0256,0.0282,0.0283,0.0385,0.0315,,0.0515,0.0746,0.0375,0.0234,0.0254,0.0245,0.0266,0.0253,0.0273,0.0279,0.039,0.0314,,0.0515,0.0758,0.041,0.0233,0.0255,0.025,0.0269,0.0254,0.0244,0.0351,0.0394,0.0306
,,0.025,0.0233,0.0293,0.057,0.0676,0.1886,0.024,0.0294,0.0266,0.0552,0.0372,0.0258,,0.0249,0.0231,0.0287,0.0532,0.0612,0.1549,0.024,0.0289,0.0262,0.054,0.0375,0.0256,,0.0249,0.0238,0.0268,0.0569,0.0709,0.1573,0.0235,0.0288,0.026,0.063,0.0383,0.0257
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
~End,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Original Filename: mpw_chla_plate2; Date Last Saved: 7/7/2026 3:30:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
