##BLOCKS= 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate:,chla protocol,1.3,PlateFormat,Endpoint,Absorbance,Raw,FALSE,1,,,,,,3,630 663 750,1,12,96,1,2,,,,,,,,,,,,,,,,,,,
,Temperature(¡C),1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12
,24.5,0.028,0.0307,0.0328,0.0432,0.0499,0.045,0.0464,0.0498,0.1844,0.0829,0.052,0.289,,0.0272,0.0301,0.0322,0.047,0.052,0.0511,0.0525,0.0627,0.103,0.0889,0.0605,0.1142,,0.0244,0.0272,0.0286,0.0385,0.0441,0.0381,0.0383,0.0495,0.0635,0.0828,0.0504,0.043
,,0.0681,1.2798,0.0251,0.2372,0.6684,0.9666,0.1206,0.173,0.3317,0.0287,0.024,0.0334,,0.0979,1.1562,0.0248,0.2494,0.7061,1.1028,0.1185,0.173,0.2966,0.0281,0.0238,0.0324,,0.0504,0.9929,0.0243,0.2081,0.651,1.0461,0.1082,0.1515,0.2812,0.0238,0.0236,0.0316
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
~End,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Original Filename: mpw_chlatest; Date Last Saved: 7/2/2026 3:28:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
