date,start_time,stop_time,frag_ID,species,sample_ID,FileID_csv,light_dark,run_block,blank,chamber_channel,Light_level,Light_value
3/30/26,15:18,16:18,P1,water,P1,P1_O2.csv,DARK,RUN1,0,1,1,0
3/30/26,15:18,16:18,P2,water,P2,P2_O2.csv,DARK,RUN1,0,2,1,0
3/30/26,15:18,16:18,P3,water,P3,P3_O2.csv,DARK,RUN1,0,3,1,0
3/30/26,15:18,16:18,PBlank1,water,PBlank1,PBlank1_O2.csv,DARK,RUN1,1,4,1,0
3/30/26,15:18,16:18,P4,water,P4,P4_O2.csv,DARK,RUN1,0,5,1,0
3/30/26,15:18,16:18,P5,water,P5,P5_O2.csv,DARK,RUN1,0,6,1,0
3/30/26,15:18,16:18,P6,water,P6,P6_O2.csv,DARK,RUN1,0,7,1,0
3/30/26,15:18,16:18,P7,water,P7,P7_O2.csv,DARK,RUN1,0,8,1,0
3/30/26,15:18,16:18,P8,water,P8,P8_O2.csv,DARK,RUN1,0,9,1,0
3/30/26,15:18,16:18,PBlank2,water,PBlank2,PBlank2_O2.csv,DARK,RUN1,1,10,1,0
3/30/26,15:18,16:18,P9,water,P9,P9_O2.csv,DARK,RUN1,0,11,1,0
3/30/26,15:18,16:18,P10,water,P10,P10_O2.csv,DARK,RUN1,0,12,1,0
3/30/26,16:20,18:20,P1,water,P1,P1_O2.csv,LIGHT,RUN1,0,1,2,450
3/30/26,16:20,18:20,P2,water,P2,P2_O2.csv,LIGHT,RUN1,0,2,2,450
3/30/26,16:20,18:20,P3,water,P3,P3_O2.csv,LIGHT,RUN1,0,3,2,450
3/30/26,16:20,18:20,PBlank1,water,PBlank1,PBlank1_O2.csv,LIGHT,RUN1,1,4,2,450
3/30/26,16:20,18:20,P4,water,P4,P4_O2.csv,LIGHT,RUN1,0,5,2,450
3/30/26,16:20,18:20,P5,water,P5,P5_O2.csv,LIGHT,RUN1,0,6,2,450
3/30/26,16:20,18:20,P6,water,P6,P6_O2.csv,LIGHT,RUN1,0,7,2,450
3/30/26,16:20,18:20,P7,water,P7,P7_O2.csv,LIGHT,RUN1,0,8,2,450
3/30/26,16:20,18:20,P8,water,P8,P8_O2.csv,LIGHT,RUN1,0,9,2,450
3/30/26,16:20,18:20,PBlank2,water,PBlank2,PBlank2_O2.csv,LIGHT,RUN1,1,10,2,450
3/30/26,16:20,18:20,P9,water,P9,P9_O2.csv,LIGHT,RUN1,0,11,2,450
3/30/26,16:20,18:20,P10,water,P10,P10_O2.csv,LIGHT,RUN1,0,12,2,450
4/6/26,16:50,18:07,W3,water,W3,Vest_W3_PrelimRun1_O2,DARK,RUN2,0,1,1,0
4/6/26,16:50,18:07,0.2W,water,0.2W,Vest_WBlank0.2_PrelimRun1_O2,DARK,RUN2,1,2,1,0
4/6/26,16:50,18:07,L4,water,L4,Vest_L4_PrelimRun1_O2,DARK,RUN2,0,3,1,0
4/6/26,16:50,18:07,W2,water,W2,Vest_W2_PrelimRun1_O2,DARK,RUN2,0,4,1,0
4/6/26,16:50,18:07,L2,water,L2,Vest_L2_PrelimRun1_O2,DARK,RUN2,0,5,1,0
4/6/26,16:50,18:07,0.7W,water,0.7W,Vest_WBlank0.7_PrelimRun1_O2,DARK,RUN2,1,6,1,0
4/6/26,16:50,18:07,W1,water,W1,Vest_W1_PrelimRun1_O2,DARK,RUN2,0,7,1,0
4/6/26,16:50,18:07,L3,water,L3,Vest_L3_PrelimRun1_O2,DARK,RUN2,0,8,1,0
4/6/26,16:50,18:07,0.7L,water,0.7L,Vest_LBlank0.7_PrelimRun1_O2,DARK,RUN2,1,9,1,0
4/6/26,16:50,18:07,L1,water,L1,Vest_L1_PrelimRun1_O2,DARK,RUN2,0,10,1,0
4/6/26,16:50,18:07,W4,water,W4,Vest_W4_PrelimRun1_O2,DARK,RUN2,0,11,1,0
4/6/26,16:50,18:07,0.2L,water,0.2L,Vest_LBlank0.2_PrelimRun1_O2,DARK,RUN2,1,12,1,0
4/6/26,18:07,20:00,W3,water,W3,Vest_W3_PrelimRun1_O2,LIGHT,RUN2,0,1,2,450
4/6/26,18:07,20:00,0.2W,water,0.2W,Vest_WBlank0.2_PrelimRun1_O2,LIGHT,RUN2,1,2,2,450
4/6/26,18:07,20:00,L4,water,L4,Vest_L4_PrelimRun1_O2,LIGHT,RUN2,0,3,2,450
4/6/26,18:07,20:00,W2,water,W2,Vest_W2_PrelimRun1_O2,LIGHT,RUN2,0,4,2,450
4/6/26,18:07,20:00,L2,water,L2,Vest_L2_PrelimRun1_O2,LIGHT,RUN2,0,5,2,450
4/6/26,18:07,20:00,0.7W,water,0.7W,Vest_WBlank0.7_PrelimRun1_O2,LIGHT,RUN2,1,6,2,450
4/6/26,18:07,20:00,W1,water,W1,Vest_W1_PrelimRun1_O2,LIGHT,RUN2,0,7,2,450
4/6/26,18:07,20:00,L3,water,L3,Vest_L3_PrelimRun1_O2,LIGHT,RUN2,0,8,2,450
4/6/26,18:07,20:00,0.7L,water,0.7L,Vest_LBlank0.7_PrelimRun1_O2,LIGHT,RUN2,1,9,2,450
4/6/26,18:07,20:00,L1,water,L1,Vest_L1_PrelimRun1_O2,LIGHT,RUN2,0,10,2,450
4/6/26,18:07,20:00,W4,water,W4,Vest_W4_PrelimRun1_O2,LIGHT,RUN2,0,11,2,450
4/6/26,18:07,20:00,0.2L,water,0.2L,Vest_LBlank0.2_PrelimRun1_O2,LIGHT,RUN2,1,12,2,450
