date,start_time,stop_time,frag_ID,species,sample_ID,FileID_csv,light_dark,run_block,blank,chamber_channel,Light_level,Light_value
4/6/26,16:48:00,18:06:00,W3,water,W3,Vest_W3_PrelimRun1_O2.csv,DARK,RUN2,0,1,1,0
4/6/26,17:48:00,18:06:00,0.2W,water,0.2W,Vest_WBlank0.2_PrelimRun1_O2.csv,DARK,RUN2,1,2,1,0
4/6/26,18:48:00,18:06:00,L4,water,L4,Vest_L4_PrelimRun1_O2.csv,DARK,RUN2,0,3,1,0
4/6/26,19:48:00,18:06:00,W2,water,W2,Vest_W2_PrelimRun1_O2.csv,DARK,RUN2,0,4,1,0
4/6/26,20:48:00,18:06:00,L2,water,L2,Vest_L2_PrelimRun1_O2.csv,DARK,RUN2,0,5,1,0
4/6/26,21:48:00,18:06:00,0.7W,water,0.7W,Vest_WBlank0.7_PrelimRun1_O2.csv,DARK,RUN2,1,6,1,0
4/6/26,22:48:00,18:06:00,W1,water,W1,Vest_W1_PrelimRun1_O2.csv,DARK,RUN2,0,7,1,0
4/6/26,23:48:00,18:06:00,L3,water,L3,Vest_L3_PrelimRun1_O2.csv,DARK,RUN2,0,8,1,0
4/6/26,0:48:00,18:06:00,0.7L,water,0.7L,Vest_LBlank0.7_PrelimRun1_O2.csv,DARK,RUN2,1,9,1,0
4/6/26,1:48:00,18:06:00,L1,water,L1,Vest_L1_PrelimRun1_O2.csv,DARK,RUN2,0,10,1,0
4/6/26,2:48:00,18:06:00,W4,water,W4,Vest_W4_PrelimRun1_O2.csv,DARK,RUN2,0,11,1,0
4/6/26,3:48:00,18:06:00,0.2L,water,0.2L,Vest_LBlank0.2_PrelimRun1_O2.csv,DARK,RUN2,1,12,1,0
4/6/26,18:08:00,20:00:00,W3,water,W3,Vest_W3_PrelimRun1_O2.csv,LIGHT,RUN2,0,1,2,450
4/6/26,18:08:00,20:00:00,0.2W,water,0.2W,Vest_WBlank0.2_PrelimRun1_O2.csv,LIGHT,RUN2,1,2,2,450
4/6/26,18:08:00,20:00:00,L4,water,L4,Vest_L4_PrelimRun1_O2.csv,LIGHT,RUN2,0,3,2,450
4/6/26,18:08:00,20:00:00,W2,water,W2,Vest_W2_PrelimRun1_O2.csv,LIGHT,RUN2,0,4,2,450
4/6/26,18:08:00,20:00:00,L2,water,L2,Vest_L2_PrelimRun1_O2.csv,LIGHT,RUN2,0,5,2,450
4/6/26,18:08:00,20:00:00,0.7W,water,0.7W,Vest_WBlank0.7_PrelimRun1_O2.csv,LIGHT,RUN2,1,6,2,450
4/6/26,18:08:00,20:00:00,W1,water,W1,Vest_W1_PrelimRun1_O2.csv,LIGHT,RUN2,0,7,2,450
4/6/26,18:08:00,20:00:00,L3,water,L3,Vest_L3_PrelimRun1_O2.csv,LIGHT,RUN2,0,8,2,450
4/6/26,18:08:00,20:00:00,0.7L,water,0.7L,Vest_LBlank0.7_PrelimRun1_O2.csv,LIGHT,RUN2,1,9,2,450
4/6/26,18:08:00,20:00:00,L1,water,L1,Vest_L1_PrelimRun1_O2.csv,LIGHT,RUN2,0,10,2,450
4/6/26,18:08:00,20:00:00,W4,water,W4,Vest_W4_PrelimRun1_O2.csv,LIGHT,RUN2,0,11,2,450
4/6/26,18:08:00,20:00:00,0.2L,water,0.2L,Vest_LBlank0.2_PrelimRun1_O2.csv,LIGHT,RUN2,1,12,2,450
