sample_ID,weight_g,volume_mL,site_ID,chla
PS2.1_RUN1,1,500,PS2,1
PS1.1_RUN1,1,500,PS1,1
PS4.1_RUN1,1,500,PS4,1
PS2.2_RUN1,1,500,PS2,1
PS1.2_RUN1,1,500,PS1,1
PS2.3_RUN1,1,500,PS2,1
PS3.1_RUN1,1,500,PS3,1
PS4.2_RUN1,1,500,PS4,1
PS3.2_RUN1,1,500,PS3,1
PS1.3_RUN1,1,500,PS1,1
PS4.3_RUN1,1,500,PS4,1
PS3.3_RUN1,1,500,PS3,1
PS2.1_RUN2,1,500,PS2,1
PS4.1_RUN2,1,500,PS4,1
PS3.1_RUN2,1,500,PS3,1
PS1.1_RUN2,1,500,PS1,1
PS2.2_RUN2,1,500,PS2,1
PS4.2_RUN2,1,500,PS4,1
PS1.2_RUN2,1,500,PS1,1
PS2.3_RUN2,1,500,PS2,1
PS1.3_RUN2,1,500,PS1,1
PS3.2_RUN2,1,500,PS3,1
PS4.3_RUN2,1,500,PS4,1
PS3.3_RUN2,1,500,PS3,1
